@relation 212785L1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4-weka.filters.unsupervised.instance.RemoveWithValues-S900.01-C2-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
836,62,K,13,1362,8,60,48,2
400,61,K,13,1208,0,84,48,0
400,68,K,13,1094,1,188,48,5
390.11,60,K,12,1320,2,35,21,12
249.9,26,M,11,1600,1,7,48,0
429.69,57,K,11,1730.13,0,197,48,239
300,41,K,12,1450,0,60,48,0
281.84,47,K,12,1032,0,52,48,4
600,74,K,13,1936,0,504,48,8
400,64,K,13,1547,0,37,48,0
500,25,M,11,2327.94,0,39,48,4
348.26,39,K,11,2927,7,205,48,0
300,61,M,16,1865,0,336,48,0
500,63,K,13,1879,0,40,48,1
600,24,K,98,5000,0,5,48,4
700,69,K,16,980,2,134,48,7
500,54,M,11,1200,0,217,48,0
300,32,M,11,2725,1,57,48,0
481.74,48,M,13,1500,3,90,48,0
300,60,K,99,900,0,94,48,0
300,71,K,13,1257,0,132,48,3
300,67,M,13,2110,2,105,48,0
584.54,63,M,13,2474,1,19,48,0
780,48,K,12,830.46,7,71,48,13
292.28,67,K,13,1428.55,2,141,48,6
200,42,K,11,1000,0,65,48,3
500,53,M,11,2011,2,215,48,4
300,31,M,12,2100,0,14,10,0
200,46,M,11,2100,4,54,48,0
303.13,41,M,11,1261.98,1,40,48,24
800,62,K,13,5100,4,32,48,0
297.03,60,K,13,1300,2,34,48,0
500,47,M,13,2692.96,0,2,48,11
300,57,M,11,1170,1,71,48,0
700,65,K,13,1507,0,63,48,1860
310.37,55,K,11,1721.7,9,124,48,13
200,69,M,13,1162.41,3,108,48,0
300,30,M,11,1590,3,57,48,2
478.16,50,M,11,2500,3,378,48,2
400,59,K,13,1514,0,50,48,0
400,79,K,13,1239.98,0,259,48,0
600,54,K,16,1362,1,33,48,0
600,81,M,13,2547,3,198,48,0
300,46,K,12,1294,0,15,10,0
292.26,38,K,12,2000,1,158,48,3
292.73,49,K,11,1077.49,3,376,48,0
400,22,M,12,1500,0,11,0,0
400,63,K,13,1650,1,86,48,0
400,61,K,13,1425,1,83,48,0
600,33,K,11,1331.21,8,23,48,1
300,54,M,11,981,1,24,48,170
300,55,K,17,864.6,0,7,1,0
200,27,K,12,1100,5,29,10,4
400.91,40,K,11,1239.05,1,208,48,5
300,68,K,13,783,0,157,48,0
400,76,K,13,1900,5,125,48,0
450,47,M,11,2300,1,124,48,0
389.72,53,K,98,3000,5,89,48,0
200,54,K,99,1100,6,57,48,0
200,62,K,13,984,4,15,48,0
290.83,62,K,13,1090.14,8,79,48,21
500,57,M,13,1900,9,154,48,0
476.83,62,M,11,1250,0,69,48,16
326.67,64,K,13,1668,9,95,48,2
300,30,M,11,1900,0,62,48,0
299.42,78,K,13,1239,1,274,48,2
500,76,M,13,1150,1,142,48,8
200,71,K,13,865,9,132,48,3
300,66,K,13,1400,2,122,48,164
200,65,K,13,796.09,0,60,48,0
300,54,K,16,1740,2,118,48,11
397.11,52,M,13,4200,1,61,48,0
300,64,M,11,1660,0,54,48,3
300,40,K,12,1323.55,0,75,48,7
384.3,36,M,11,1058,4,18,48,0
200,27,M,12,1100,0,59,48,2
300,55,K,11,1686,0,102,48,0
299.01,53,K,11,1400,5,165,48,2
200,28,M,17,728,9,130,48,1855
200,21,M,17,985,0,20,2,0
500,37,M,12,2000,1,71,48,0
200,57,M,12,1600,0,60,48,0
200,66,M,13,1611,1,145,48,3
300,80,K,13,1167.94,4,373,48,1
500,52,K,11,1700,8,310,48,8
300,71,K,13,1389,1,72,48,0
784.54,56,K,12,1350,2,27,0,1854
300,34,K,12,2139,0,132,48,0
300,58,K,11,1680,8,389,48,1
500,50,K,11,1800,9,57,48,0
200,38,K,12,599.03,0,24,1,7
200,21,K,12,1394,0,23,21,0
400,67,K,13,850,8,71,48,0
200,54,M,11,2094.17,5,245,48,0
300,71,M,13,1642.87,3,73,48,1
500,71,K,13,1200,8,123,48,7
200,71,K,13,1200,2,123,48,7
300,46,K,11,3000,3,97,48,0
300,23,K,12,1500,8,18,9,0
203.42,30,M,11,1888.27,3,81,48,3
200,57,K,98,980,8,14,48,0
300,39,M,12,1400,0,2,2,0
300,55,K,11,1756,1,3,48,0
200,66,K,13,974,1,205,48,0
300,72,M,13,1426,9,81,48,0
300,64,K,13,1100,6,109,48,0
200,76,K,13,965,8,249,48,0
200,63,K,13,3700,9,31,48,0
453.84,45,K,11,2245.01,3,149,48,3
350,74,K,11,1348.95,1,118,48,1
600,64,K,13,1233,2,128,48,2
200,76,K,13,1647,0,262,48,0
200,54,K,16,749.28,9,70,48,0
650,25,M,11,2000,0,41,48,1852
237.11,55,K,12,2200,2,11,3,0
400,66,M,16,1473.04,6,170,48,3
376.24,60,K,13,1400,2,51,48,188
637.66,64,K,13,860,3,84,48,10
200,37,K,11,1350,0,31,48,1
300,47,K,98,911,9,103,48,0
500,75,K,13,1060,0,252,48,0
200,59,K,16,634,8,56,48,0
300,66,K,13,802.83,3,206,48,0
200,56,K,11,2800,4,14,48,0
277.26,65,K,13,1582.15,1,110,48,0
500,30,K,12,1447,9,35,9,1
500,62,K,13,1170,0,83,48,0
600,62,M,16,837,1,236,48,3
700,59,K,13,1872,9,39,48,4
688.47,50,K,11,2800,1,323,48,4
400,51,K,12,1000,9,37,0,0
400,61,M,12,1000,9,26,9,0
500,51,M,12,3000,0,131,48,1850
830,60,K,13,1400,4,251,48,11
500,51,K,17,990,5,85,48,1
500,54,M,11,2080,3,323,48,1
400,55,K,11,1840,0,360,48,0
400,26,K,17,1200,1,179,48,4
222.73,51,M,16,1045,8,204,48,1
292.26,64,K,13,1014,3,187,48,8
200,63,M,13,1162,9,226,48,1
200,58,K,99,780,5,12,6,0
800,69,K,13,2120,4,123,48,30
670.68,59,K,13,1801.41,0,42,48,14
200,61,K,13,1635,9,124,48,0
500,37,M,11,3898,4,185,48,8
564.48,62,M,13,1500,0,28,48,224
800,56,K,13,3440,9,56,48,0
700,34,K,11,1540,0,43,48,0
700,38,K,11,3178.76,4,126,48,12
700,33,K,11,3100,4,126,48,12
800,50,K,11,1764,3,69,48,6
249.3,58,K,16,2100,4,43,48,6
257.27,55,M,11,2100,6,42,48,2
900,66,M,13,3040,1,206,48,0
700,57,M,13,1553,0,114,48,0
349.66,65,M,13,1601.87,5,50,48,1
400,75,K,13,1536,0,40,48,5
600,51,M,16,2150,1,86,48,1847
600,28,K,11,2100,0,27,48,0
300,38,M,99,1500,0,10,7,0
500,63,K,16,2084.79,0,146,48,0
400,61,K,13,1107,3,19,48,0
289.69,69,K,13,1017,2,166,48,0
400,67,K,13,1137.19,1,101,48,4
390.85,59,K,16,1589,2,31,48,0
234.84,60,K,13,1000,1,62,48,0
500,24,M,11,1800,1,14,48,24
400,57,K,11,1187.06,2,138,48,0
500,27,K,11,2300,0,27,48,0
300,69,K,13,1027,5,197,48,0
200,66,M,13,1559,0,76,48,0
261.28,39,K,98,1200,9,50,48,4
200,57,K,99,670,1,175,48,0
342.26,74,K,13,1412,3,209,48,0
600,78,M,13,2609,1,195,48,0
900,59,K,17,684,9,209,48,3
200,32,K,12,1865,6,34,9,0
500,48,K,11,1700,1,94,48,3
200,22,K,99,960,0,5,3,0
500,61,M,16,1398,0,398,48,13
400,74,K,13,1140,1,242,48,0
500,44,K,11,1966,0,83,48,0
300,71,K,13,1000,6,69,48,0
500,54,M,11,1320,9,347,48,2
200,66,M,13,1217,0,55,48,0
300,36,K,12,1300,1,7,3,0
300,41,K,11,1100,0,62,48,0
600,55,K,11,1300,0,73,48,6
400,56,M,11,1460.17,6,66,48,2
597.15,48,M,12,600,10,27,13,0
453.23,32,M,11,2700,8,20,48,7
265.58,63,K,13,1189,9,74,48,0
500,44,K,11,1738.57,2,62,48,0
200,55,K,16,1045.6,10,17,48,0
200,62,K,13,997,9,84,48,0
200,44,M,11,2284.23,4,304,48,2
292.26,67,K,16,957,1,205,48,3
600,73,K,13,640,3,143,48,0
628.76,64,K,13,3251,3,143,48,0
800,61,M,11,1200,0,134,48,0
500,59,K,13,1883.53,0,52,48,0
561.8,66,K,16,892,3,205,48,1
298.97,64,K,16,1389,4,96,48,1
200,61,K,13,917,1,82,48,0
350,71,K,13,729.03,10,262,48,0
300,40,K,12,1027,9,59,48,0
260.06,64,K,13,930,6,98,48,0
500,60,K,13,1658,0,34,48,0
300,38,K,12,1382,3,35,9,0
200,70,K,16,959.6,9,120,48,5
400,61,K,13,1500,5,65,48,0
804.82,63,M,13,2474,4,20,48,0
500,45,M,12,1952.35,2,11,2,10
300,49,K,11,980,0,204,48,0
200,34,M,11,1800,9,170,48,0
300,27,M,12,1100,1,48,39,8
254.38,58,K,16,634.64,8,141,48,0
300,64,M,12,1231,1,7,3,0
700,55,K,11,1500,0,115,48,0
500,46,M,11,2600,0,7,48,1
200,32,M,11,2000,3,10,48,0
623.79,42,K,98,5000,4,89,48,11
400,63,M,15,1100.79,0,95,48,0
200,68,M,16,1600,0,16,48,0
202.28,61,M,11,3000,10,217,48,0
200,73,K,13,730,8,565,48,0
200,52,M,12,1188,0,18,4,0
300,43,K,11,1286.16,2,122,48,0
600,51,K,11,4900,0,16,48,0
700,43,M,98,3014,0,107,48,0
300,36,M,99,750,1,7,5,0
200,32,K,12,980,9,16,0,4
500,42,K,11,2824,1,106,48,5
700,62,K,13,2066,9,134,48,0
300,61,K,13,810,10,38,48,0
300,36,K,12,1200,9,14,0,0
300,55,K,12,111.86,0,23,21,3
315.12,74,M,13,960,9,145,48,0
342.55,72,M,13,562,5,86,48,5
200,21,M,17,985,1,20,2,0
200,49,M,12,1100,0,12,1,1
300,55,K,16,1500,4,6,48,0
200,33,K,12,1250,0,23,16,0
400,59,K,11,1500,8,90,48,3
202.87,66,K,13,1350,8,116,48,0
594.54,63,K,13,3700,1,32,48,0
352.7,55,K,12,1000,3,69,48,0
500,54,K,11,1700,1,210,48,0
400,61,K,16,1411,6,71,48,3
500,76,K,13,1248,3,255,48,2
200,22,M,12,1300,0,35,33,0
400,41,K,12,1450,0,60,48,0
500,65,M,13,1530,0,40,48,5
300,42,K,12,1344,0,9,3,1838
500,64,K,16,1340,0,166,48,0
350,55,K,12,1700,10,69,48,0
297.26,34,K,11,1380,1,31,48,2
599.54,46,M,12,3500,4,215,48,0
400,72,M,13,1097,0,84,48,0
200,57,K,15,678,1,145,48,0
200,66,M,13,1181,0,120,48,7
500,48,M,13,864.34,4,161,48,3
300,62,K,13,992.96,1,17,48,0
300,60,K,13,1098,1,61,48,2
400,50,K,12,976,0,2,0,0
426.56,31,M,11,2700,0,69,48,14
200,46,M,99,1416,0,2,0,0
400,57,M,11,1842.86,8,12,48,1
265.33,53,K,11,1050,8,38,48,1
500,37,M,11,2800,0,160,48,0
300,57,K,11,1800,2,116,48,0
200,58,K,13,611,8,144,48,1
437.11,61,K,13,1000,9,73,48,2
200,63,K,13,1130,1,108,48,0
400,27,M,11,2151,0,44,48,1
200,59,M,12,1150,0,0,0,1
400,61,K,13,1087.72,0,6,48,1
200,28,M,12,1400,4,17,11,0
300,55,K,11,1400,0,121,48,0
484.54,63,K,13,714,3,227,48,0
293.13,50,M,13,3900,10,35,48,0
200,52,M,12,1188,0,18,3,2
550,55,K,12,1675,9,14,0,6
731.95,68,K,13,1431,2,252,48,1
400,61,M,16,1865,0,337,48,2
300,71,K,13,729.03,3,262,48,1
300,54,M,11,1300,0,457,48,0
450,69,K,13,1019,2,137,48,6
400,45,M,11,3300,3,241,48,0
407.59,65,M,11,2600,1,140,48,0
300,76,K,13,821.35,1,251,48,2
900,48,K,11,5800,9,59,48,2
480.2,48,M,13,1500,4,91,48,0
200,73,K,13,785,6,69,48,0
200,69,M,13,1103,0,48,48,0
400,69,M,13,1689.98,0,86,48,0
500,41,K,11,2505,0,169,48,1
537.15,63,K,13,962,5,70,48,1
500,26,M,11,2259,0,76,48,6
300,49,K,12,1700,0,38,33,2
387.11,75,K,13,1373,2,115,48,0
400,65,K,13,840,0,118,48,0
600,36,K,11,2709.34,0,186,48,0
738.6,56,K,12,1600,2,17,1,165
859.23,73,K,13,2534,0,132,48,208
274.08,63,M,13,2000,3,39,48,0
600,44,K,11,1443,4,38,48,1
600,81,M,13,2547,4,199,48,0
300,50,K,12,1115,0,24,17,0
600,36,K,11,2400,8,118,48,6
581.34,63,K,13,1691.3,5,78,48,18
243.13,60,M,11,2000,4,74,48,6
242.26,31,M,12,2100,1,14,9,1832
499.11,61,K,13,1800,1,74,48,0
400,60,K,99,900,0,94,48,3
350,79,K,13,1239.98,1,260,48,0
500,59,M,16,1770,10,94,48,0
250,50,M,12,822,1,130,48,0
441.54,36,K,98,4000,9,23,48,10
300,47,K,11,900,9,98,48,4
400,34,K,12,2139,0,132,48,0
300,59,K,13,1240,2,75,48,0
300,54,K,12,1200,0,27,23,0
600,55,K,11,2800,1,65,48,5
700,60,M,11,2800,2,101,48,5
400,61,K,13,1208,1,85,48,5
561.74,63,M,13,2474,2,20,48,0
500,69,M,13,1162.41,0,109,48,0
600,54,K,16,1362,2,34,48,2
249.9,26,M,11,1600,2,8,48,0
300,32,M,11,2725,2,58,48,0
300,62,K,13,744.07,0,17,48,0
500,54,M,11,1200,1,218,48,0
450,38,M,11,1931,0,72,48,4
313.42,39,K,11,2927,8,206,48,2
500,47,M,99,1400,0,21,0,0
400,39,M,11,3800,0,14,48,0
688,52,K,11,3200,9,59,48,3
400,63,K,13,1650,2,87,48,1
300,54,K,99,1100,0,57,48,2
300,67,M,13,2110,3,106,48,0
300,68,K,13,783,1,158,48,0
350,59,K,13,1514,1,51,48,0
400,76,K,13,1900,6,126,48,1
389.72,53,K,98,3000,6,90,48,1
800,62,K,13,5100,5,33,48,0
500,34,K,11,2200,0,16,48,0
400,47,M,11,1566.82,0,354,48,4
292.54,49,K,11,1077.49,4,377,48,0
300,57,M,11,1170,2,72,48,3
596.28,33,M,11,2200,1,133,48,16
322.17,53,K,11,2065.98,2,184,48,4
587.11,63,K,13,1879,1,41,48,11
750,60,M,13,3900,0,119,48,2
200,62,K,13,984,5,16,48,2
833.26,62,K,13,1362,9,61,48,2
240,57,K,11,1172.2,9,42,48,4
475.38,50,M,11,2500,4,379,48,1
300,75,M,13,1180,0,145,48,0
576.3,74,K,13,2100,0,60,48,0
400,67,K,13,850,9,72,48,0
300,71,K,13,1257,1,133,48,0
487.15,74,K,13,951,0,167,48,1
300,30,M,11,1900,1,63,48,0
200,78,K,13,1300,0,198,48,0
600,24,K,98,5000,1,6,48,16
242.26,55,K,17,864.6,1,7,0,0
292.55,30,M,11,1590,4,58,48,5
281.84,47,K,12,1032,1,52,48,1
200,65,K,13,796.09,1,61,48,0
430,39,M,11,2470,6,71,48,2
200,78,K,13,1100,1,253,48,1
316.55,36,M,11,1058,5,19,48,0
600,33,K,11,1331.21,9,24,48,0
200,64,M,13,1287.66,0,101,48,1826
400,68,K,13,809,2,189,48,1826
395.44,52,M,13,4200,2,62,48,0
438.08,53,M,11,2011,3,216,48,0
291.14,38,K,12,2000,2,158,48,8
300,55,K,11,1686,1,103,48,4
200,57,M,12,1600,1,60,48,14
326.67,64,K,13,1668,10,96,48,0
500,78,K,13,1299,2,275,48,0
250,61,K,13,1224,0,60,48,0
200,22,M,12,1500,0,23,11,0
677.97,40,K,11,1800,0,57,48,18
300,71,K,13,1446,2,73,48,3
400,56,M,11,1100,0,110,48,0
500,50,K,11,1800,10,58,48,3
200,58,M,13,12220,0,76,48,0
300,62,K,13,1431,0,51,48,0
500,50,K,11,2470,0,359,48,0
500,50,M,11,1867.29,0,54,48,0
200,21,K,12,1394,1,23,20,0
700,69,K,16,965,3,136,48,11
300,46,K,12,1294,1,15,9,1824
200,63,K,13,3700,10,32,48,0
200,54,M,11,2094.17,6,246,48,6
200,71,K,13,910,10,133,48,0
500,57,M,13,4388,0,60,48,0
600,60,M,11,2300,0,77,48,0
300,80,K,13,1167.94,5,374,48,0
200,67,K,13,1428.55,3,142,48,0
298.01,53,K,11,1400,6,166,48,0
300,72,M,13,1426,10,82,48,43
500,75,K,13,1060,1,252,48,0
300,23,K,12,1500,9,18,8,1822
200,27,K,12,1100,6,29,9,4
300,64,K,13,1100,7,110,48,0
738.02,74,K,13,1936,1,505,48,1822
300,39,M,12,1400,1,2,1,42
400,55,K,11,1840,1,361,48,0
200,76,K,13,965,9,250,48,0
300,46,K,11,3000,4,98,48,0
300,66,K,13,813.35,0,206,48,0
300,58,K,11,1680,9,390,48,0
400,51,K,12,1000,10,37,0,0
400,61,M,12,1000,10,26,8,0
500,62,K,13,1170,1,83,48,0
400,64,M,11,1660,0,55,48,0
300,66,K,13,802.83,4,206,48,0
400.91,40,K,11,1239.05,2,209,48,5
350,74,K,11,1348.95,2,119,48,0
300,71,M,13,1642.87,4,74,48,5
200,54,K,16,749.28,10,70,48,0
800,53,M,11,3200,0,194,48,0
600,64,K,13,1233,3,129,48,2
200,59,K,16,634,9,57,48,0
300,47,K,98,911,0,104,48,8
228.74,65,K,13,1582.15,2,111,48,5
400,61,K,16,1406,0,121,48,0
203.42,30,M,11,1888.27,4,1,48,7
400,57,K,98,980,0,15,48,0
200,56,K,11,2800,5,15,48,2
200,62,K,13,975,9,33,48,9
449.94,45,K,11,2245.01,4,151,48,2
200,37,K,11,1350,1,32,48,7
285.11,60,K,12,1320,3,35,19,1818
600,57,K,11,2103.84,0,174,48,0
